postcode,latitude,longitude
EH54 8PY,55.902203,-3.547662
EH54 8PY,55.902203,-3.547662
EH54 9JZ,55.87029,-3.507105
EH55 8EJ,55.849816,-3.578322
EH6 4EG,55.978536,-3.182971
EH6 4NY,55.974943,-3.187445
EH6 5JA,55.971597,-3.174862
EH6 6TL,55.974694,-3.176893
EH6 8BW,55.969166,-3.164246
EH6 8HQ,55.97027,-3.171009
EH7 4AT,55.960826,-3.183889
EH7 4AT,55.960826,-3.183889
EH7 5EG,55.957862,-3.174686
EH7 6RU,55.956285,-3.133045
EH7 6UJ,55.964615,-3.156706
EH8 7RX,55.954556,-3.140807
EH8 9AL,55.945981,-3.188129
EH8 9DX,55.945386,-3.183884
EH8 9RD,55.94113,-3.176725
EH8 9RD,55.94113,-3.176725
EH8 9RU,55.944567,-3.181439
EH9 1AG,55.935099,-3.193349
FK1 1BA,55.997724,-3.784356
FK1 3EZ,55.936627,-3.835628
FK1 4PP,56.002892,-3.814472
FK10 3JQ,56.124693,-3.783555
FK10 3JQ,56.124693,-3.783555
FK10 4JA,56.107311,-3.75112
FK12 5BD,56.151928,-3.803492
FK13 6AG,56.152833,-3.746799
FK14 7AA,56.162286,-3.670091
FK16 6DU,56.191844,-4.05242
FK17 8LX,56.238052,-4.199453
FK2 0XF,55.987399,-3.72184
FK2 0XF,55.987399,-3.72184
FK2 0XF,55.987399,-3.72184
FK2 7AZ,56.005176,-3.776151
FK2 7ES,56.0032,-3.786629
FK2 7HR,56.006066,-3.784866
FK2 7TA,56.016882,-3.793383
FK21 8TQ,56.466527,-4.316551
FK3 8AN,56.019464,-3.720347
FK4 1ED,56.00434,-3.89349
FK4 1ED,56.00434,-3.89349
FK5 3BB,56.024955,-3.818902
FK5 3BB,56.024955,-3.818902
FK5 3BB,56.024955,-3.818902
FK5 3BB,56.024955,-3.818902
FK5 4HT,56.027435,-3.811371
FK6 6DB,56.022845,-3.908876
FK6 6GD,56.024809,-3.907994
FK7 0HW,56.093656,-3.921767
FK7 7JD,56.104608,-3.875979
FK7 8DW,56.064675,-3.875042
FK8 1PH,56.126951,-3.940145
FK8 2AU,56.1068,-3.935893
FK8 2AU,56.1068,-3.935893
FK8 2AU,56.1068,-3.935893
FK8 2QD,56.115876,-3.939372
FK8 3DZ,56.125264,-4.172633
FK8 3NB,56.116283,-4.297842
FK9 4EU,56.153098,-3.947889
FK9 4NJ,56.149619,-3.917477
FK9 4SW,56.131855,-3.961408
G11 5LL,55.871146,-4.309874
G11 5NG,55.871209,-4.305593
G11 5PE,55.871063,-4.304737
G11 7AD,55.8725,-4.323414
G11 7SY,55.871163,-4.314702
G12 8ED,55.877734,-4.288536
G12 8ND,55.873977,-4.283727
G12 8SP,55.874178,-4.293682
G12 9JE,55.878556,-4.305628
G12 9LD,55.879057,-4.300973
G12 9PN,55.877658,-4.306582
G13 1JE,55.895018,-4.326967
G13 2SW,55.894418,-4.338574
G13 2UP,55.891617,-4.331929
G13 4PU,55.897112,-4.370298
G14 0EA,55.885427,-4.36226
G14 0NT,55.889156,-4.381406
G14 0XT,55.886269,-4.361145
G14 9DR,55.878359,-4.348384
G14 9PS,55.875253,-4.340812
G14 9SS,55.8835,-4.357282
G14 9UT,55.874517,-4.339313
G14 9UU,55.874609,-4.339686
G14 9XL,55.87798,-4.348473
G15 6EG,55.9061,-4.355149
G15 7TS,55.909749,-4.371052
G15 7TS,55.909749,-4.371052
G15 7TS,55.909749,-4.371052
G15 7TS,55.909749,-4.371052
G15 7TS,55.909749,-4.371052
G20 6HS,55.875782,-4.271845
G20 7ER,55.879669,-4.271112
G20 7ER,55.879669,-4.271112
G20 7ER,55.879669,-4.271112
G20 7ER,55.879669,-4.271112
G20 7ER,55.879669,-4.271112
G20 7ER,55.879669,-4.271112
G20 7ER,55.879669,-4.271112
G20 8FB,55.889909,-4.292741
G20 8FB,55.889909,-4.292741
G20 8FB,55.889909,-4.292741
G21 1TR,55.882764,-4.229161
G21 1TR,55.882764,-4.229161
G21 1TR,55.882764,-4.229161
G21 1TR,55.882764,-4.229161
G21 3RW,55.892301,-4.201397
G21 4AH,55.876285,-4.227396
G22 5AP,55.881094,-4.254054
G22 5AP,55.881094,-4.254054
G22 5AP,55.881094,-4.254054
G22 5AP,55.881094,-4.254054
G22 5SS,55.885446,-4.25213
G22 6BD,55.886865,-4.234735
G22 7JL,55.898736,-4.245207
G3 7UA,55.866793,-4.289203
G3 7UA,55.866793,-4.289203
G3 8ND,55.864391,-4.283725
G31 1QS,55.857094,-4.216841
G31 2ES,55.865482,-4.231607
G31 2ES,55.865482,-4.231607
G31 2XE,55.858694,-4.221342
G31 3BP,55.863166,-4.214677
G31 4UW,55.849054,-4.190356
G31 5BA,55.852443,-4.19456
G31 5BA,55.852443,-4.19456
G31 5RA,55.849794,-4.19118
G32 6JP,55.859254,-4.19443
G32 6NB,55.861632,-4.166741
G32 6NB,55.861632,-4.166741
G32 7JZ,55.852288,-4.169899
G32 7JZ,55.852288,-4.169899
G32 8UH,55.843562,-4.171614
G33 1EY,55.878683,-4.194487
G33 3AL,55.863262,-4.1808
G33 3TU,55.875431,-4.162158
G33 6EY,55.891608,-4.144999
G33 6HA,55.891231,-4.14493
G34 9HQ,55.868922,-4.125974
G34 9HQ,55.868922,-4.125974
G34 9HQ,55.868922,-4.125974
G4 0UP,55.859032,-4.232337
G4 9BL,55.871218,-4.271258
G40 1HA,55.848107,-4.227272
G40 2DA,55.852469,-4.227965
G40 2DA,55.852469,-4.227965
G40 2DA,55.852469,-4.227965
G40 2DA,55.852469,-4.227965
G40 2DA,55.852469,-4.227965
G40 2DA,55.852469,-4.227965
G40 2DA,55.852469,-4.227965
G40 2DA,55.852469,-4.227965
G40 2DA,55.852469,-4.227965
G40 3LJ,55.84616,-4.205465
G41 1HU,55.852835,-4.279244
G41 1HU,55.852835,-4.279244
G41 1HU,55.852835,-4.279244
G41 1NX,55.845283,-4.274521
G41 1NX,55.845283,-4.274521
G41 3PT,55.826023,-4.287096
G41 3RG,55.828364,-4.28883
G41 3UJ,55.831746,-4.286073
G41 3YA,55.830126,-4.279754
G41 3YA,55.830126,-4.279754
G41 3YT,55.827724,-4.283873
G41 5RU,55.83941,-4.275743
G42 0EH,55.828249,-4.234245
G42 7AF,55.840395,-4.259651
G42 7DR,55.837253,-4.258209
G42 7DR,55.837253,-4.258209
G42 7DR,55.837253,-4.258209
G42 8QD,55.835661,-4.271194
G42 9JT,55.826214,-4.265185
G42 9LQ,55.828467,-4.260909
G43 1RR,55.82651,-4.296447
G44 3DH,55.814619,-4.266472
G44 4JE,55.81912,-4.236611
G44 4JE,55.81912,-4.236611
G44 5JT,55.809791,-4.242061
G44 5JT,55.809791,-4.242061
G45 9AW,55.805791,-4.234939
G46 8NY,55.80709,-4.318463
G46 8NY,55.80709,-4.318463
G5 9AB,55.848299,-4.252763
G5 9AB,55.848299,-4.252763
G5 9RP,55.843405,-4.262589
G51 1AT,55.852234,-4.295392
G51 1HS,55.854136,-4.279497
G51 1RN,55.850744,-4.304923
G51 1SL,55.852007,-4.299364
G51 4BJ,55.860359,-4.326491
G51 4BJ,55.860359,-4.326491
G51 4BJ,55.860359,-4.326491
G51 4BJ,55.860359,-4.326491
G52 2AZ,55.850768,-4.357248
G52 3QN,55.84621,-4.336125
G52 3SS,55.84544,-4.342294
G52 3SS,55.84544,-4.342294
G53 5QD,55.832228,-4.340877
G53 6EQ,55.822773,-4.346452
G53 6EQ,55.822773,-4.346452
G53 7FY,55.82943,-4.359613
G53 7RN,55.805827,-4.350542
G60 5JG,55.924671,-4.459349
G61 2DN,55.916551,-4.322143
G61 2SY,55.918104,-4.331727
G61 3RD,55.921277,-4.334719
G62 6BT,55.939615,-4.318352
G62 8BT,55.942168,-4.315446
G63 0DP,56.067081,-4.451785
G63 0TS,56.068068,-4.336037
G63 9EG,55.984168,-4.305773
G63 9NA,56.045743,-4.372326
G64 1NF,55.898248,-4.215603
G64 1PJ,55.904187,-4.221141
G64 1PJ,55.904187,-4.221141
